"# Serious Injuries","# Visible Injuries","Agency Name (Crash Level) ","Date","Intersection Name (from Crash Report)","KABCO Severity","Light Conditions (Crash Level)","Location at Impact (Crash Level) ","Manner of Collision (Crash Level) ","Roadway (From Crash Report)","Surface Condition (Crash Level) ","Time","Safety Equipment (Crash Level) ","Weather Conditions (Crash Level)","# of Fatalities per Crash","Latitude","Longitude","Geolocated City","Geolocated County","First Harmful Event (Unit Order)","Operator/Pedestrian Contrib Factor (excl None, Other, No Contrib Factors)","Most Harmful Event (Crash Level)"
1,0,"Atlanta Police Department","05/30/2025","Dekalb Ave Ne and Waverly Way Ne","(A) Suspected Serious Injury","Dark-Lighted","On Roadway - Non-Intersection","Not a Collision with Motor Vehicle","Dekalb Ave Ne","Dry","21:11:00","[""Lap and Shoulder Belt Used"",""None Used""]","Clear",0,33.75465229,-84.35784753,"Atlanta","Fulton","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Improper Passing"",""Not Visible (Object, Person, or Vehicle)""]","Pedal-Cycle"
0,0,"Atlanta Police Department","06/02/2025","Glenwood Ave Se and Flat Shoals Ave Se","(C) Possible Injury / Complaint","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","Glenwood Ave Se","Dry","17:40:00","[""Unknown"",""None Used""]","Clear",0,33.74017658,-84.34541016,"Atlanta","DeKalb","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Aggressive Driving"",""Other Unit Contributed to Crash""]","Pedal-Cycle"
0,0,"Atlanta Police Department","06/03/2025","Bolton Rd Nw and Parrott Ave Nw","(C) Possible Injury / Complaint","Daylight","On Roadway - In Crosswalk","Not a Collision with Motor Vehicle","Bolton Rd Nw","Dry","18:00:00","[""Lap and Shoulder Belt Used"",""None Used""]","Clear",0,33.81057558,-84.47773482,"Atlanta","Fulton","[""Motor Vehicle in Motion"",""Pedestrian""]","Not Visible (Object, Person, or Vehicle)","[""Pedestrian"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","06/05/2025","N Highland Ave Ne and Los Angeles Ave Ne","(C) Possible Injury / Complaint","Daylight","On Roadway - Driveway Intersection","Not a Collision with Motor Vehicle","N Highland Ave Ne","Dry","19:51:00","[""Unknown"",""Unknown""]","Clear",0,33.78353041,-84.35458711,"Atlanta","Fulton","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","[""Following Too Close"",""Other Unit Contributed to Crash""]","Pedal-Cycle"
0,0,"Atlanta Police Department","06/06/2025","None and Northside Dr Nw","(C) Possible Injury / Complaint","Daylight","On Roadway - Driveway Intersection","Not a Collision with Motor Vehicle","Northside Dr Nw","Dry","16:00:00","[""Unknown"",""Bicycle Helmet""]","Clear",0,33.79460151,-84.4078523,"Atlanta","Fulton","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Failure to Yield"",""Other Unit Contributed to Crash""]","Pedal-Cycle"
1,0,"Atlanta Police Department","06/09/2025","Piedmont Park and Piedmont Ave Ne","(A) Suspected Serious Injury","Daylight","On Roadway - In Crosswalk","Not a Collision with Motor Vehicle","Piedmont Park","Dry","10:07:00","[""Unknown"",""Bicycle Helmet""]","Clear",0,33.78431964,-84.37887937,"Atlanta","Fulton","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Failure to Yield"",""Other Unit Contributed to Crash""]","[""Other Object (Not Fixed)"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","06/11/2025","Hill St Se and Memorial Dr Se","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","Memorial Dr Se","Dry","13:13:00","[""Motorcycle Helmet"",""Lap and Shoulder Belt Used""]","Clear",0,33.74685352,-84.37929181,"Atlanta","Fulton","[""Pedal-Cycle"",""Motor Vehicle in Motion""]","[""Other Unit Contributed to Crash"",""Failure to Yield""]","[""Pedal-Cycle"",""Motor Vehicle in Motion""]"
0,1,"Atlanta Police Department","06/15/2025","Neal St Nw and Joseph E Lowery Blvd Nw","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","Neal St Nw","Dry","15:27:00","[""Unknown"",""None Used""]","Clear",0,33.76642071,-84.41744644,"Atlanta","Fulton","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","[""Other Unit Contributed to Crash"",""Failure to Yield""]","[""Pedal-Cycle"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","06/17/2025","Hightower Pl Nw and James Jackson Pkwy Nw","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","James Jackson Pkwy Nw","Dry","15:00:00","[""None Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.77867647,-84.47519487,"Atlanta","Fulton","[""Pedal-Cycle"",""Pedal-Cycle""]","Changed Lanes Improperly","[""Pedal-Cycle"",""Motor Vehicle in Motion""]"
1,0,"Atlanta Police Department","06/19/2025","Faith Ave Se and Moreland Ave Se","(A) Suspected Serious Injury","Dark-Lighted","On Roadway - Non-Intersection","Not a Collision with Motor Vehicle","Moreland Ave Se","Dry","21:15:00","[""None Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.74344657,-84.34923525,"Atlanta","Fulton","[""Pedal-Cycle"",""Motor Vehicle in Motion""]","Wrong Side of Road","[""Pedal-Cycle"",""Pedal-Cycle""]"
